*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-01 09:20:43:223009,Child Name:,Daria
2017-12-01 09:20:43:223137,Instruction:,"NumberOfStart:
1
ChildName:
Daria
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:
point



# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

2017-12-01 09:21:36:969676,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:37:066976,Detected ARTags: ,"92, 93"
2017-12-01 09:21:37:067782,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:37:068062,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:37:168750,Detected ARTags: ,"92, 93"
2017-12-01 09:21:37:169272,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:37:169625,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:37:269315,Detected ARTags: ,"92, 93"
2017-12-01 09:21:37:270166,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:37:270370,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:37:366982,Detected ARTags: ,"92, 93"
2017-12-01 09:21:37:368156,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:37:368264,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:37:472993,Detected ARTags: ,"92, 93"
2017-12-01 09:21:37:473391,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:37:473573,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:37:570001,Detected ARTags: ,"92, 93"
2017-12-01 09:21:37:571536,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:37:571791,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:37:671114,Detected ARTags: ,"92, 93"
2017-12-01 09:21:37:671404,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:37:671305,Detected ARTags: ,"[92, 93]"
